,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
366,gobabis,-22.45,18.9667,66.81,30,6,12.48,NA,1616807223
367,kurgan,55.45,65.3333,17.96,92,100,2.98,RU,1616807224
368,tuatapere,-46.1333,167.6833,64.99,70,100,5.99,NZ,1616807224
369,longyearbyen,78.2186,15.6401,17.6,73,20,25.32,SJ,1616807224
370,totness,5.8833,-56.3167,76.93,87,80,13.02,SR,1616807225
371,campos belos,-13.0367,-46.7717,69.84,59,63,2.57,BR,1616807225
372,okhotsk,59.3833,143.3,6.13,79,41,4.18,RU,1616807226
373,palmerston,-12.486,130.9833,87.01,79,40,9.22,AU,1616807226
374,beaverlodge,55.2166,-119.4361,37.4,52,90,3.44,CA,1616807226
375,karratha,-20.7377,116.8463,84.61,58,1,2.53,AU,1616807226
